Time (s);Gyroscope X (deg/s);Gyroscope Y (deg/s);Gyroscope Z (deg/s);Accelerometer X (g);Accelerometer Y (g);Accelerometer Z (g);Magnetometer X (uT);Magnetometer Y (uT);Magnetometer Z (uT);Barometer (hPa)
2,759919167;-3,995007;2,053977;48,68821;-0,8361317;0,2374451;-0,1030705;45,28847;8,32831;8,527951;1006,229
2,780175209;-7,832312;3,003839;45,56955;-0,8561217;0,8354524;-0,2319269;45,28847;8,32831;8,527951;1006,232
2,79789877;-6,84204;1,044748;32,36113;-0,7539461;1,062889;-0,2839708;45,94995;6,907436;8,080932;1006,232
2,818154335;1,513383;-3,526465;12,91541;-0,6276625;0,9666221;-0,2905148;45,94995;6,907436;8,080932;1006,23
2,838410378;7,950153;-6,197953;-1,760617;-0,6923062;0,7165605;-0,1508722;45,94995;6,907436;8,080932;1006,23
2,858665943;7,826369;-4,77316;-7,753326;-0,8348516;0,4707595;-0,06482899;45,94886;4,75988;8,096533;1006,23
2,878921509;2,936899;-1,211175;-5,123872;-0,9736719;0,2427565;-0,06927466;45,94886;4,75988;8,096533;1006,23
2,899177551;-3,252303;1,935244;3,00909;-1,0099;0,1874923;-0,1344562;45,65392;4,397129;8,548627;1006,227
2,919433594;-6,84204;3,181938;9,2464;-0,9278454;0,3229425;-0,2083246;45,65392;4,397129;8,548627;1006,227
2,939684868;-6,22312;2,588274;10,16365;-0,8525886;0,5165644;-0,2001428;45,65392;4,397129;8,548627;1006,225
2,95994091;-3,066627;0,6885494;4,965893;-0,8043035;0,653524;-0,2158038;45,58159;5,132254;8,10171;1006,225
2,980196476;0,6468948;-1,567374;-2,372118;-0,7842975;0,6482166;-0,208834;45,58159;5,132254;8,10171;1006,223
3,018176079;2,194195;-2,517236;-11,91153;-0,8528725;0,4938841;-0,1458821;45,28666;4,769503;8,553804;1006,222
3,038431644;0,3993267;-0,7956105;-12,46188;-0,8770167;0,413594;-0,09960076;45,28666;4,769503;8,553804;1006,222
3,058687687;-1,581218;1,34158;-11,48348;-0,8993356;0,4053601;-0,09799298;45,28666;4,769503;8,553804;1006,226
3,078942776;-1,890678;2,291442;-11,17773;-0,9014453;0,4294949;-0,1493233;45,28666;4,769503;8,553804;1006,226
3,099198818;-0,8385138;2,113343;-11,66693;-0,874823;0,4362241;-0,1958134;45,64265;4,763398;8,103076;1006,224
3,119454861;0,2755426;0,9853814;-12,52303;-0,8638731;0,4265268;-0,2143317;45,64265;4,763398;8,103076;1006,224
3,139706612;0,1517586;0,2729846;-12,95108;-0,8696353;0,4057195;-0,2101209;45,64265;4,763398;8,103076;1006,224
3,159962177;-1,147974;0,2729846;-13,13453;-0,8656844;0,3960475;-0,2054304;45,287;5,444449;8,548902;1006,224
3,18021822;-1,828786;0,5698166;-13,07338;-0,890065;0,3926887;-0,1738747;45,287;5,444449;8,548902;1006,224
3,19794178;-0,9622978;0,03551903;-13,62374;-0,9036524;0,4226923;-0,17105;45,64336;6,174649;8,092824;1006,224
3,218197346;-0,09580953;0,1542518;-13,86834;-0,9066811;0,3801363;-0,1434481;45,64336;6,174649;8,092824;1006,224
3,238453388;0,3374346;0,8666486;-13,07338;-0,9054487;0,3525749;-0,1239494;45,64336;6,174649;8,092824;1006,224
3,258708954;-0,2814856;1,697778;-11,97268;-0,9094707;0,3312644;-0,1361485;45,30867;6,184252;9,366037;1006,222
3,278964996;-0,6528377;1,875877;-10,74968;-0,8998112;0,3467028;-0,1790066;45,30867;6,184252;9,366037;1006,222
3,299220085;-0,9004058;1,638412;-10,13818;-0,8928897;0,3568335;-0,2079065;45,28791;7,223853;8,535975;1006,221
3,319476128;-0,2814856;0,5698166;-10,01588;-0,898058;0,3689008;-0,2323232;45,28791;7,223853;8,535975;1006,221
3,339728355;0,5231107;-0,4987786;-10,38278;-0,8944783;0,3674678;-0,217915;45,65536;7,219632;8,528123;1006,219
3,359983921;1,018247;-1,329908;-10,50508;-0,9034236;0,3631362;-0,1952069;45,65536;7,219632;8,528123;1006,219
3,380239487;1,142031;-1,389274;-10,01588;-0,9155722;0,3191355;-0,158846;45,65536;7,219632;8,528123;1006,221
3,397963524;0,4612187;-0,7956105;-8,731728;-0,9251283;0,3147915;-0,1462529;45,66556;7,957551;8,902382;1006,221
3,41821909;-0,6528377;-0,08321376;-7,019525;-0,9355966;0,310937;-0,128826;45,66556;7,957551;8,902382;1006,222
3,438474655;-0,5909457;0,6885494;-5,490773;-0,9216327;0,3041544;-0,1391565;45,66556;7,957551;8,902382;1006,222
3,458730698;-0,2814856;0,8666486;-4,145471;-0,9191827;0,3123376;-0,1762201;45,66556;7,957551;8,902382;1006,224
3,499242306;1,142031;0,2136182;-2,983619;-0,9090651;0,3195933;-0,1825273;45,28847;8,32831;8,527951;1006,23
3,519497395;1,203923;-0,02384736;-2,310968;-0,9119448;0,3220155;-0,1795831;45,28847;8,32831;8,527951;1006,23
3,539749622;0,4612187;-0,08321376;-1,699467;-0,9106032;0,3457203;-0,1875767;45,64445;8,322205;8,077223;1006,23
3,560005665;-0,09580953;-0,1425802;-1,577167;-0,9047388;0,345242;-0,1847512;45,64445;8,322205;8,077223;1006,23
3,580261231;-0,2195936;-0,3206794;-1,699467;-0,9116302;0,3389386;-0,1924467;45,64445;8,322205;8,077223;1006,234
3,597984791;-0,2195936;-0,261313;-1,149116;-0,9162806;0,3225014;-0,176641;45,29848;8,698078;8,904885;1006,234
3,618240833;-0,2195936;-0,261313;-0,2318648;-0,9162651;0,3065312;-0,1763034;45,29848;8,698078;8,904885;1006,234
3,638496399;-0,4671616;-0,2019466;0,7465367;-0,9181437;0,3089567;-0,17096;45,28899;9,371409;8,520373;1006,234
3,658752442;-0,7766218;-0,02384736;1,663788;-0,9151914;0,3249333;-0,1669912;45,28899;9,371409;8,520373;1006,234
3,679008007;-0,9004058;0,332351;2,152989;-0,9100083;0,3525071;-0,1783642;45,28899;9,371409;8,520373;1006,235
3,699263573;-1,766894;-0,02384736;2,458739;-0,8326893;0,3623678;-0,05329971;45,97233;9,058491;8,887815;1006,235
3,719519615;-0,9004058;0,2136182;1,052287;-0,9347401;0,3405924;-0,01867832;45,97233;9,058491;8,887815;1006,241
3,739770889;1,142031;-0,9737096;0,4407863;-0,8567321;0,4129159;-0,2661009;44,92139;9,068838;8,530454;1006,241
3,760026932;3,86528;-1,567374;-0,9045157;-0,9097429;0,2587342;-0,08378417;44,92139;9,068838;8,530454;1006,24
3,780282974;1,203923;-0,261313;1,541488;-0,9529939;0,2896911;-0,0835287;44,92139;9,068838;8,530454;1006,24
3,798006535;-0,7147297;1,400946;4,354392;-0,934072;0,2475413;-0,127005;45,64464;8,690357;8,074548;1006,24
3,8182621;-1,02419;2,113343;5,393944;-0,9363108;0,3641533;-0,1442428;45,64464;8,690357;8,074548;1006,24
3,838518143;0,02797451;1,757145;5,638544;-0,9071457;0,3892864;-0,1804722;45,9525;8,687109;8,131273;1006,238
3,858773709;1,760951;0,8072822;4,048642;-0,8854868;0,3699155;-0,1977453;45,9525;8,687109;8,131273;1006,238
3,879029751;1,884735;0,2136182;3,681741;-0,8701385;0,3693706;-0,2528572;45,9525;8,687109;8,131273;1006,238
3,899285316;0,7087868;-0,6175113;2,88679;-0,8794026;0,3650554;-0,2166504;45,28865;8,696463;8,525277;1006,238
3,919540882;0,02797451;-0,7362441;2,458739;-0,8918561;0,3626479;-0,2025633;45,28865;8,696463;8,525277;1006,24
3,93979311;-0,6528377;-0,3800458;2,70334;-0,9089265;0,3675221;-0,1686007;45,59468;8,324793;8,521408;1006,24
3,960048199;0,3374346;-0,9143433;2,58104;-0,9415805;0,3777578;-0,09827709;45,59468;8,324793;8,521408;1006,241
3,977772236;1,699059;-0,9737096;2,58104;-0,9311913;0,3369346;-0,2423826;45,59468;8,324793;8,521408;1006,241
